net,length_um
_0252_,524.94
_0459_,523.6
net73,522.24
_0275_,521.3
_0571_,520.37
_0279_,519.54
regfile_inst.registers\[25\]\[4\],518.32
_0108_,518.09
_0445_,517.18
_0329_,516.88
regfile_inst.registers\[15\]\[4\],515.7
regfile_inst.registers\[25\]\[10\],514.58
_0585_,514.12
_0013_,513.43
_0052_,512.72
_0142_,512.58
regfile_inst.registers\[10\]\[5\],512.2
clknet_3_5__leaf_clk,511.74
_0082_,511.17
clknet_3_6__leaf_clk,510.22
_0191_,509.3
net71,509.08
net8,508.76
_0449_,508.33
_0271_,506.28
_0403_,505.43
_0430_,505.04
_0032_,504.86
_0404_,504.04
net15,503.72
_0376_,503.14
_0239_,502.93
_0119_,502.04
_0586_,501.82
_0323_,499.36
_0308_,498.6
_0106_,498.52
_0111_,494.965
_0001_,494.33
_0413_,494.02
_0050_,493.63
regfile_inst.registers\[25\]\[11\],491.88
imem_inst.address\[12\],489.8
regfile_inst.registers\[15\]\[7\],489.28
_0048_,488.79
clknet_3_3__leaf_clk,488.36
net11,488.08
_0093_,485.2
regfile_inst.registers\[15\]\[0\],485.2
_0464_,482.2
_0294_,481.56
regfile_inst.registers\[10\]\[3\],480.02
_0101_,479.82
_0104_,479.45
_0160_,479.24
_0120_,479
_0559_,472.38
_0036_,471.68
_0389_,469.84
_0122_,467.84
_0211_,466.86
_0343_,466.7
_0055_,466.575
_0619_,466.32
_0588_,465.13
_0166_,464.56
_0273_,464.48
_0291_,463.88
_0617_,461.76
net51,461.68
_0285_,459.5
_0267_,459.14
_0003_,459.09
net3,458.86
net10,457.06
_0292_,456.58
_0556_,455.36
_0557_,454.3
net46,454.24
imem_inst.address\[18\],452.12
_0386_,449.86
_0290_,449.03
_0097_,448.96
imem_inst.address\[23\],448.635
net69,448.42
_0051_,448.08
_0129_,445.8
_0385_,444.2
_0246_,444.04
regfile_inst.registers\[10\]\[9\],443.8
_0542_,442.88
_0280_,442.37
_0372_,441.1
_0551_,441.02
_0331_,439.22
_0272_,438.42
_0461_,437.06
_0234_,436.46
net62,436.18
_0175_,433.68
_0145_,433.06
regfile_inst.registers\[25\]\[12\],432.62
_0533_,431.36
_0309_,431.24
_0223_,430.58
_0182_,430.3
net60,429
_0022_,428.02
_0018_,427.75
net5,427.4
_0277_,427.22
_0446_,425.88
_0313_,424.2
_0114_,423.88
_0054_,423.86
_0483_,423.44
_0611_,423.43
_0387_,422.6
_0488_,422.08
_0620_,421.18
_0187_,420.45
