net,length_um
_2087_,8156.77
_1755_,7481.175
net68,7354.18
_2978_,7247.2
_1703_,7230.86
_3625_,7035
_3419_,6892.24
_1656_,6728.24
net15,6524.45
_1655_,6475.57
_3003_,6456.58
_3326_,6404.3
net41,6353.98
_1026_,6273.1
net98,6163.76
net24,5970.21
net95,5902.375
net63,5738.02
_1556_,5252.175
net99,5075.09
_0620_,5014.355
net101,5007.75
A2[1],4945.875
net65,4908.035
net78,4888.04
net23,4874.36
net102,4811.26
_0407_,4790.08
_0066_,4778.355
_0109_,4740.235
_0514_,4699.68
_0659_,4697.14
_0726_,4696.87
_0956_,4684.895
_0027_,4669.935
_0949_,4660.745
_0558_,4647.9
net2697,4646.27
_0555_,4625.01
_0725_,4576.9
_3866_,4573.36
_0338_,4568.435
_0079_,4560.04
_0251_,4549.86
_0732_,4547.355
_0441_,4535.945
_0484_,4530.3
_0139_,4526.24
_0239_,4513.075
_3785_,4509.38
_3437_,4502.08
_0352_,4489.9
_3453_,4471.42
_0918_,4470.625
_0048_,4466.32
_3040_,4444.06
_0735_,4438.52
_0641_,4434.245
_3366_,4419.42
_3912_,4416.84
_0168_,4414.67
_2805_,4413.28
_3099_,4410.06
_0812_,4407.31
_2626_,4402.28
_0915_,4381.31
_0693_,4380.225
_0116_,4378.635
_1559_,4378.59
_1014_,4378.36
_0076_,4377.88
_3709_,4376.34
_0519_,4371.48
_0448_,4363.345
_2447_,4361.64
net90,4360.12
_3759_,4356.86
_0034_,4353.96
_4051_,4348.7
_2597_,4339.55
_0552_,4339.54
_0489_,4334.975
_3616_,4322.08
_4224_,4318.6
_0105_,4317.335
net1,4317.04
_0870_,4303.74
_0177_,4298.17
_2446_,4290.4
_0217_,4289.87
_4175_,4286.86
_3681_,4286.78
_4013_,4284.52
_0516_,4282.785
_0985_,4276.805
_0853_,4274.92
_0481_,4274.275
_0390_,4260.27
_0696_,4256.435
A2[0],4255.6
_0238_,4254.1
_0917_,4248.14
_0939_,4239.665
_0334_,4239.16
_0883_,4237.88
_1012_,4236.985
_4209_,4234.2
_0997_,4231.285
net2529,4230.88
_0254_,4218.04
_0214_,4215.53
_4212_,4210.76
_0397_,4199.505
net1645,4190.58
_0632_,4188.72
_4003_,4182.67
net3309,4179.605
_0164_,4174.9
_0098_,4174.51
_0402_,4170.575
_3487_,4170.46
_0969_,4162.99
_4079_,4161.02
_3632_,4159.34
_0741_,4156.28
_0794_,4154.84
_0996_,4151.02
_4000_,4149.44
_0059_,4148.7
_0688_,4146.89
_3170_,4145.98
_0110_,4139.795
_0249_,4127.905
_3684_,4124.92
_0339_,4123.575
_0783_,4122.54
_0777_,4111.46
_0216_,4110.74
_0927_,4110.58
net1237,4103.1
_0368_,4098.59
net7,4091.6
_3794_,4087.02
net4015,4081.135
_0690_,4078.82
_4061_,4078.3
_3261_,4078.06
_3327_,4077.65
_0549_,4076.975
_1021_,4076.69
_0207_,4074.405
_3554_,4073.76
_4197_,4071.34
_0416_,4067.14
net1758,4064.62
_3545_,4055.5
_3435_,4055.02
_3207_,4051.82
_0303_,4051.105
_0224_,4050.095
_4075_,4049.98
_2793_,4045.55
_2405_,4038.28
net86,4036.72
_0439_,4027.075
_3262_,4026.86
_2734_,4023.67
_0543_,4022.225
_4192_,4019.59
_0319_,4018.6
_3120_,4014.7
_0010_,4013.745
_3503_,4006.26
_3642_,4006.1
_0784_,4005.04
_0044_,3997.44
_0273_,3997.18
_1008_,3993.535
_3364_,3990.6
_3983_,3986.98
_0607_,3983.86
_0989_,3981.66
net3616,3979.105
_3646_,3978.69
_3439_,3975.02
net1117,3973.52
net4102,3963.32
_0246_,3962.92
_0495_,3962.66
rf.registers\[25\]\[7\],3959.97
_4208_,3953.26
_3735_,3947.55
_3387_,3946.68
net4268,3945.93
_0626_,3944.785
_0971_,3943.935
_0474_,3941.08
_2794_,3939.82
_1004_,3935.115
_0204_,3931.6
_1944_,3927.78
net70,3926.515
_3745_,3925.34
net895,3924.94
_3550_,3917.88
net1366,3913.445
_3509_,3912.78
net2872,3912.575
_3705_,3909.76
_0145_,3909.295
_4011_,3906
_0333_,3905.6
net4386,3903.6
net3689,3902.035
net2343,3898.72
_2468_,3892.555
_0491_,3892.54
_3273_,3891.21
_0117_,3887.925
_4225_,3882.32
_2501_,3882.14
_3629_,3881.595
_0054_,3881.33
_0024_,3879.42
_0655_,3877.7
net1911,3875.89
net4446,3874.94
net109,3870.87
_3535_,3869.24
_0825_,3860.61
_3264_,3859.12
_2287_,3858.37
_4173_,3850.42
_1435_,3846.04
_0505_,3845.86
_0757_,3843.095
_4223_,3841.46
_0051_,3839.52
_0140_,3836.635
_0670_,3830.895
_0454_,3830.02
_0892_,3829.12
_2295_,3828.575
net3953,3824.765
net1248,3824.6
_1164_,3822.14
_3057_,3820.2
_4179_,3816.28
_2422_,3811.67
_0003_,3808.56
_0938_,3803.45
_0954_,3795.06
_0910_,3788.8
_0730_,3784.62
net2395,3783.3
_0488_,3782.21
_0963_,3781.54
_0008_,3781.4
_3961_,3779.96
_2420_,3779.04
net2113,3778.82
_0814_,3770.45
net2615,3765.97
_0575_,3763.205
_0738_,3761.295
net3742,3758.065
_0906_,3753.395
_4001_,3749.46
_4201_,3747.74
_0608_,3744.595
_3713_,3740.7
_0930_,3740.195
_3906_,3738.26
_3133_,3737.86
_3189_,3734.52
_3169_,3732.36
_3526_,3727.46
_2639_,3719.77
_3687_,3717.78
_3528_,3716.72
_0119_,3716.1
_0644_,3715.235
_0905_,3712.58
_0342_,3706.02
_0687_,3702.98
_1181_,3701.36
_4038_,3701.3
net1823,3697.75
_4139_,3696.88
_0111_,3695.69
_3847_,3695.5
_1006_,3691.1
_3062_,3690.3
net11,3689.4
_0829_,3687.68
_3239_,3685.56
net2272,3683.35
_0518_,3683.14
net4347,3680.35
_2313_,3679.86
_2697_,3673.68
_2550_,3673.62
_0772_,3666.95
_4215_,3666.68
net2723,3666.09
_0358_,3664.43
_0560_,3663.525
_0298_,3658.94
_3918_,3658.58
_0612_,3657.01
_4169_,3656.68
_3862_,3655.72
_3095_,3651.62
_0124_,3650.94
_3212_,3649.26
_0582_,3649.07
_2305_,3648.96
_2139_,3648.91
_0504_,3636.44
_4183_,3635.96
_3198_,3630.39
_0708_,3627.28
_2065_,3626.115
_3671_,3625.02
_0822_,3624.1
_3506_,3621.76
_1646_,3621.035
_2049_,3620.66
_2527_,3619.57
_0053_,3619.14
_3171_,3618.4
_1908_,3616.91
_0855_,3615.945
_3700_,3614.395
_0415_,3614.31
net3284,3613.55
net105,3611.16
_0774_,3610.63
