net,length_um
_0607_,7710.02
net16,6635.585
_0625_,6595.56
_0469_,6578.89
net23,6446.765
net20,6281.14
net27,5443.64
_0709_,4799.21
net12,4723.04
_0055_,4602.03
net15,4559.64
_0687_,4556.04
net11,4519.46
net17,4499.58
_0003_,4460.86
_0105_,4408.98
_0634_,4399.8
_0618_,4347.76
_0001_,4336.4
_0122_,4332.98
_0086_,4278.69
_0804_,4246.92
_0094_,4239.98
_0016_,4200.62
_0211_,4191.34
_0149_,4175.165
net40,4098.54
_0071_,4091.745
_0002_,4070.26
net1479,4050.25
_0047_,3980.745
_0913_,3980.39
_0295_,3952.8
_0024_,3947.4
_0546_,3903.54
_1062_,3898.26
_0540_,3894.54
_0073_,3891.925
_0093_,3890.32
_0812_,3886.04
_0135_,3868.76
net1106,3834.88
_0543_,3815.14
_0304_,3809.22
_0120_,3790.36
_0999_,3739.26
net1124,3724.98
_1028_,3722.35
_0046_,3720.025
_0173_,3714.15
_0559_,3712.8
_0112_,3708.74
_0556_,3698.76
_0009_,3681.715
net1018,3681.61
_0576_,3679.44
_1088_,3676.94
_0538_,3656
_0719_,3631.64
_0893_,3620.14
_0472_,3606.34
net911,3584.09
_0197_,3569.54
_0487_,3557.12
_0443_,3556.76
_0161_,3554.14
_0118_,3549.055
_0030_,3546.54
_0077_,3544.24
_0986_,3531.78
_0042_,3518.835
_0099_,3513.94
_0079_,3510.42
_0862_,3509.33
_0568_,3499.18
net530,3496.98
_0019_,3491.51
_0368_,3490.67
_0270_,3484.98
_0177_,3471.64
_0499_,3468.6
net734,3458.36
_0164_,3456.26
_0527_,3445.82
net1508,3440.83
_0979_,3430.28
_0813_,3429.71
_0123_,3428.68
_0766_,3410.99
net1519,3401.1
net594,3399.935
CLK,3385.07
_0182_,3383.92
_0446_,3379.5
_0780_,3377.18
net18,3369.71
_0436_,3367.68
_0488_,3361.66
_0035_,3355.335
_0054_,3350.005
_0811_,3331.755
_0906_,3328.08
net1247,3320.635
net739,3317.15
_0511_,3316.76
net1275,3301.865
_0170_,3297
net775,3287.58
