net,length_um
clknet_leaf_39_clk,62.84
_0648_,62.75
_1403_,62.42
cpu_inst.decoder_inst.current_pc\[6\],61.86
_1214_,61.74
_0972_,61.6
_1451_,61.58
_0673_,61.36
_1427_,61.36
_1448_,61.3
_0647_,61.06
_0909_,61.06
_1330_,60.98
_1487_,60.98
_0515_,60.96
_1262_,60.4
clknet_leaf_17_clk,60.4
_1332_,59.6
clknet_leaf_41_clk,59.58
_1023_,59.14
_1768_,58.74
clknet_leaf_12_clk,58.62
_1392_,57.82
_0690_,57.425
net10,57.4
cpu_inst.regfile_inst.registers\[10\]\[1\],57.3
_0652_,56.94
_1292_,56.12
_0574_,55.8
_0728_,55.38
_1102_,55.36
_0538_,55.28
_1355_,54.7
_0862_,54.6
_0505_,54.46
_0841_,54.19
_1032_,53.7
_1801_,53.08
_0570_,52.98
_1946_,52.98
_0532_,52.84
_1222_,52.58
_0878_,52.39
_0958_,52.38
_0985_,51.71
_1060_,51.7
_0898_,51.64
_1934_,51.44
_1132_,51.04
_0542_,50.81
_0816_,50.38
_1143_,49.88
_1199_,49.88
_1942_,49.6
_1328_,49.26
_1131_,49.14
_0557_,49.06
_1065_,48.98
_0768_,48.34
_1064_,48.04
_0565_,47.84
_0577_,47.84
cpu_inst.regfile_inst.registers\[10\]\[14\],47.64
_1123_,47.4
_0566_,47.34
net14,47.12
_0579_,46.96
_0877_,46.4
_0600_,46.1
_1144_,46.1
cpu_inst.regfile_inst.registers\[8\]\[14\],46.04
_2021_,45.74
_1506_,45.72
_0575_,45.36
_1544_,45.36
cpu_inst.regfile_inst.registers\[25\]\[17\],45.06
_1059_,44.92
_1663_,44.76
_1070_,44.52
_0918_,44.5
_0929_,44.32
_1128_,44.22
_1832_,44.02
_1045_,43.96
cpu_inst.regfile_inst.registers\[10\]\[17\],43.9
_0539_,43.86
_1479_,43.8
_0516_,43.62
cpu_inst.decoder_inst.current_pc\[30\],43.52
_1407_,43.225
_0521_,43.14
cpu_inst.regfile_inst.registers\[9\]\[2\],43.02
_2281_,43.01
_1948_,42.52
_0564_,42.42
_0632_,42.3
_1077_,42.08
_0984_,41.96
clknet_leaf_3_clk,41.96
cpu_inst.decoder_inst.current_pc\[7\],41.88
_0944_,41.66
_1052_,41.58
_1800_,41.28
_0550_,40.96
_1724_,40.96
_0617_,40.76
_0578_,40.56
_0899_,40.36
_1122_,40.34
_1411_,39.56
_0738_,39.54
_2274_,39.52
_1171_,39.44
cpu_inst.regfile_inst.registers\[8\]\[23\],39.42
_0556_,39.1
_1529_,39.04
_1107_,38.6
cpu_inst.decoder_inst.current_pc\[5\],38.44
_0941_,38.28
_2359_,38.215
_1047_,38.12
_0634_,37.925
_0779_,37.9
_0583_,37.74
_0716_,37.64
_1874_,37.54
cpu_inst.decoder_inst.current_pc\[27\],37.335
cpu_inst.decoder_inst.current_pc\[4\],37.205
_1840_,37.2
cpu_inst.decoder_inst.current_pc\[15\],36.96
net11,36.66
_1653_,36.1
_0838_,36.06
_1438_,36.06
net13,36.06
cpu_inst.regfile_inst.registers\[0\]\[30\],35.98
_1412_,35.66
_1450_,35.62
cpu_inst.regfile_inst.registers\[4\]\[25\],35.38
_1501_,35.2
net17,35.2
_1259_,35.18
_0588_,35.12
cpu_inst.display_inst.digit_select\[0\],34.98
_1786_,34.9
_0691_,34.895
