net,length_um
_1922_,226.77
_2119_,224.68
_1121_,223.36
_1052_,222.89
_4130_,221.95
_4058_,221.51
_1631_,220.92
_1923_,219.035
net18,218.33
_2254_,218.24
_1632_,216.53
_3769_,215.42
_2399_,214.9
net2,214.84
net68,214.42
_1736_,214.4
_3660_,214.36
_3515_,213.7
net89,213.3
net128,212.04
_1078_,211.91
net86,209.92
_3277_,209.74
_1635_,208.78
net129,208.52
_1621_,208.21
_2391_,206.305
net87,206.02
_1624_,205.7
net27,205.44
_1138_,204.76
net88,204.64
_1027_,203.9
_2236_,203.86
_1403_,203.47
_1077_,202.65
net31,202.52
_1476_,201.7
net91,201.66
net96,200.66
net90,199.66
_1041_,199.02
_3624_,198.07
_3841_,197.12
net93,196.44
_1043_,195.94
net6,195.45
net94,195.34
_1375_,195.28
_1999_,194.99
net16,194.98
_1795_,194.945
net8,194.54
net126,193.74
_1625_,193.69
_3028_,190.07
_1794_,189.8
_2266_,188.39
_3407_,187.59
net64,185.93
net19,185.06
_2000_,184.53
_2110_,184.35
_3319_,184.26
net1,183.69
_3357_,183.22
net127,182.12
_2999_,180.76
_3039_,177.85
_2326_,175.6
_2398_,175.52
_2109_,174.37
_3033_,174.31
_3311_,173.93
_3045_,173.4
_3443_,172.78
_3551_,172.61
_1617_,172.6
net55,172.34
_3363_,171.12
_2383_,170.63
_1583_,169.68
net63,169.31
_2997_,168.68
_1569_,168.66
_2179_,167.6
_2358_,166.33
_3479_,165.98
_2269_,165.77
_1404_,165.29
_3051_,164.87
_1618_,164.8
net66,164.02
_3950_,163.84
net123,163.64
_2459_,162.82
net121,162.75
_3037_,161.08
_2234_,160.36
_3020_,160.33
_3047_,160.24
_2463_,159.435
net17,157.9
_1445_,157.36
net122,157.18
_3035_,155.95
net26,155.22
_2991_,154.74
_3003_,154.67
_2100_,153.8
_3336_,153.57
_2237_,152.45
_2259_,149.02
_3288_,148.89
net104,147.9
_3026_,147.62
net33,147.6
net65,147.26
_3018_,146.95
_2220_,146.06
_2541_,146.05
_3380_,145.51
clknet_leaf_22_CLK,144.415
_2392_,144.17
_3041_,143.74
_2252_,143.04
net84,142.68
_2319_,142.27
_3326_,141.58
_1392_,140.7
_3732_,140.2
net60,139.72
net85,139.51
net125,139.34
net105,139.22
_3330_,139.09
_2421_,137.965
_3024_,136.64
_1462_,136.52
_3282_,135.2
_2243_,135.13
net119,134.78
_3332_,134.71
_3240_,134.24
_2241_,134.1
_2993_,133.34
_3393_,133.16
_2970_,132.78
net22,132.58
_2980_,132.54
_1205_,132.14
clknet_leaf_27_CLK,131.9
_3280_,130.995
_2716_,130.32
_1115_,130.28
_2549_,129.66
clknet_leaf_67_CLK,129.46
_2657_,129.34
_2989_,128.68
_3010_,128.55
_2462_,127.825
_2386_,127.26
clknet_leaf_16_CLK,126.86
_2586_,125.5
_2995_,125.43
_2084_,125.24
_3338_,124.89
_3012_,124.77
_3342_,124.65
net20,124.14
_2560_,124.08
_3328_,123.62
_3016_,123.3
net3,123.18
_1281_,122.44
_2568_,122.06
clknet_leaf_33_CLK,121.88
_3294_,121.65
_2340_,121.46
clknet_leaf_70_CLK,121.415
_2260_,120.72
_3049_,120.56
clknet_leaf_0_CLK,120.48
clknet_leaf_56_CLK,120.46
net59,120.36
_2209_,120.28
