net,length_um
net1,62.28
net2,56.72
net5,50.04
_02_,41.54
net3,39.86
net6,37.59
net7,36.22
_03_,33.58
_04_,33.3
_01_,30.74
net4,29.6
net9,26.98
net11,26.3
net16,24.3
_06_,23.54
net14,23.08
_00_,22.56
net10,22.12
net15,21.08
_09_,19.16
net8,16.14
net12,15.76
_05_,13.38
in[7],12.79
net13,12.54
out[0],11.89
in[0],10.73
out[7],10.61
_07_,10.36
in[3],8.73
out[5],8.51
_08_,7.48
out[6],6.69
in[1],6.65
in[5],6.31
out[3],5.29
in[4],4.95
in[2],4.61
in[6],4.61
out[4],4.61
out[1],3.93
out[2],3.93
